date,actual,date,forecast
,,2014-06-03,191467.91731059086
,,2014-06-04,190281.82934587926
,,2014-06-05,191020.17748349626
,,2014-06-06,192190.0180465763
,,2014-06-09,192640.9531620817
,,2014-06-10,191891.9239334009
,,2014-06-11,192396.2825117223
,,2014-06-12,192189.37675891636
,,2014-06-13,190773.0487388607
,,2014-06-16,189665.54639692098
,,2014-06-17,189329.71191575867
,,2014-06-18,189007.07144267188
,,2014-06-19,190832.2724946381
,,2014-06-20,190661.61666785018
,,2014-06-23,190593.49678574252
,,2014-06-24,189823.31678863498
,,2014-06-25,190119.99730396713
,,2014-06-26,190652.7630399604
,,2014-06-27,190645.10543300532
,,2014-06-30,190615.18925509672
,,2014-07-01,189871.1303580072
,,2014-07-02,190588.60048905248
,,2014-07-03,191579.99543618038
,,2014-07-07,193632.1762248915
,,2014-07-08,192747.4304682141
,,2014-07-09,192225.12260998925
,,2014-07-10,192917.6947079727
,,2014-07-11,192442.32034254674
,,2014-07-14,192831.83974380099
,,2014-07-15,193283.23883970914
,,2014-07-16,192787.5411883244
,,2014-07-17,192035.6273718879
,,2014-07-18,189880.30604418844
,,2014-07-21,192410.52635743562
,,2014-07-22,193015.69105263863
,,2014-07-23,192756.4105305379
,,2014-07-24,192064.1218983988
,,2014-07-25,192428.51598066033
,,2014-07-28,191343.2443375055
,,2014-07-29,192675.51575938315
,,2014-07-30,191065.1221680151
,,2014-07-31,191740.68684730784
,,2014-08-01,188415.95661640505
,,2014-08-04,189316.98072479566
,,2014-08-05,194275.20106773888
,,2014-08-06,192738.1367663851
,,2014-08-07,193740.7664483367
,,2014-08-08,193496.62445010914
,,2014-08-11,196192.71519818692
,,2014-08-12,198029.07370626985
,,2014-08-13,199385.86160249996
,,2014-08-14,198937.4926859974
,,2014-08-15,202783.22850547952
,,2014-08-18,201177.04115811625
,,2014-08-19,201887.7219793605
,,2014-08-20,202383.09285169648
,,2014-08-21,202162.96265923238
,,2014-08-22,204838.74827698182
,,2014-08-25,203147.6661529303
,,2014-08-26,204606.54017073108
,,2014-08-27,204403.10349923867
,,2014-08-28,204462.25458947656
,,2014-08-29,203688.67912110843
,,2014-09-02,206073.42012685287
,,2014-09-03,206684.9005895495
,,2014-09-04,206155.31713178114
,,2014-09-05,206886.23013845115
,,2014-09-08,206692.62128988333
,,2014-09-09,207272.2844636477
,,2014-09-10,205129.58789547964
,,2014-09-11,206853.59476148954
,,2014-09-12,206804.80529787543
,,2014-09-15,205869.04341960675
,,2014-09-16,207056.96165727748
,,2014-09-17,207591.2557250528
,,2014-09-18,209196.37474314246
,,2014-09-19,211905.08480302308
,,2014-09-22,211743.6559977398
,,2014-09-23,208660.8493708016
,,2014-09-24,208502.85146808455
,,2014-09-25,209627.8336447837
,,2014-09-26,206052.98067457788
,,2014-09-29,208397.01808931015
,,2014-09-30,207299.10337319085
,,2014-10-01,207006.8078969404
,,2014-10-02,204996.52081684914
,,2014-10-03,206320.3141110266
,,2014-10-06,208560.93425299285
,,2014-10-07,208745.72092394397
,,2014-10-08,205053.7646852635
,,2014-10-09,209705.3462360514
,,2014-10-10,206200.95676528005
,,2014-10-13,205336.90324860532
,,2014-10-14,204847.36068666074
,,2014-10-15,206023.21944184136
,,2014-10-16,204175.86500907643
,,2014-10-17,202289.3954905235
,,2014-10-20,205230.16346026555
,,2014-10-21,205856.10748312104
,,2014-10-22,208935.27151776885
,,2014-10-23,205920.56530742516
,,2014-10-24,207792.3912526024
,,2014-10-27,209425.18759719963
,,2014-10-28,209315.82649189763
,,2014-10-29,209913.76782965136
,,2014-10-30,209549.38046573935
,,2014-10-31,209418.02345790126
,,2014-11-03,209550.570408053
,,2014-11-04,210941.42607486574
,,2014-11-05,212965.12938045908
,,2014-11-06,214226.68828119914
,,2014-11-07,214125.78425626428
,,2014-11-10,214528.20515934622
,,2014-11-11,217764.13601761637
,,2014-11-12,216963.06686298916
,,2014-11-13,217544.19627297512
,,2014-11-14,219136.32988213387
,,2014-11-17,218140.13784177648
,,2014-11-18,218246.33986699337
,,2014-11-19,218679.4537861644
,,2014-11-20,218501.5513541962
,,2014-11-21,218193.59924686374
,,2014-11-24,219833.86894983775
,,2014-11-25,220806.77946546278
,,2014-11-26,221843.07348082523
,,2014-11-28,222298.38768959465
,,2014-12-01,222685.9908130099
,,2014-12-02,222477.2299875472
,,2014-12-03,224984.2454131822
,,2014-12-04,224259.13049604924
,,2014-12-05,225143.77854810096
,,2014-12-08,225609.16665992234
,,2014-12-09,227600.2609706471
,,2014-12-10,225274.97300078103
,,2014-12-11,223637.95071765524
,,2014-12-12,224550.43913678965
,,2014-12-15,219030.01680406614
,,2014-12-16,219371.53953560046
,,2014-12-17,218468.22136729298
,,2014-12-18,223141.3234597824
,,2014-12-19,229407.32037447084
,,2014-12-22,227911.62531055586
,,2014-12-23,227374.06548252655
,,2014-12-24,227294.9459172681
,,2014-12-26,226380.68710183707
,,2014-12-29,226235.83472661907
,,2014-12-30,228385.90590432717
,,2014-12-31,228163.5721371296
,,2015-01-02,226323.82038731658
,,2015-01-05,223715.30732143339
,,2015-01-06,220768.5077149506
,,2015-01-07,220724.00483014132
,,2015-01-08,223367.44852198474
,,2015-01-09,226368.17646920343
,,2015-01-12,224898.0348547711
,,2015-01-13,222884.20229448343
,,2015-01-14,222630.13133288652
,,2015-01-15,221823.6165583494
,,2015-01-16,222027.19016517221
,,2015-01-20,223612.00661593745
,,2015-01-21,222554.76403362688
